"","Duration","Proto","SrcPt","DstPt","Packets","Bytes","Flags","Tos","class","Packets_speed","Bytes_speed","Hour","Min","Sec","Day"
"48",0,17,53,53464,1,249,0,0,0,10000,2490000,10,0,48,5
"49",0,17,36577,53,1,76,0,0,0,10000,760000,13,19,45,5
"50",0.493,6,53881,443,13,1799,26,0,0,26.369168356998,3649.08722109533,9,11,27,5
"51",0,6,80,44719,1,66,17,32,0,10000,660000,12,47,35,5
"52",0.022,6,42186,8082,2,338,24,0,0,90.9090909090909,15363.6363636364,4,22,14,6
"53",0,6,57880,80,1,54,17,0,0,10000,540000,14,56,38,5
"54",0,6,443,38839,1,54,16,32,0,10000,540000,6,15,5,6
"55",0.005,6,39467,445,2,174,24,0,0,400,34800,3,2,39,5
"56",0.014,6,443,55427,2,139,25,32,0,142.857142857143,9928.57142857143,13,36,58,5
"57",0.041,6,52298,80,2,108,17,0,0,48.780487804878,2634.14634146341,6,6,8,6
"58",0.002,6,59456,80,2,108,17,0,0,1000,54000,16,45,25,5
"59",0.128,6,80,49623,2,854,26,32,0,15.625,6671.875,12,0,16,5
"60",0,6,53913,443,1,66,16,0,0,10000,660000,9,0,12,5
"61",0,6,36017,443,1,54,16,0,0,10000,540000,14,31,19,5
"62",0.125,6,443,55372,73,375421,26,32,0,584,3003368,8,40,22,6
"63",0,17,137,137,1,92,0,0,0,10000,920000,12,27,15,5
"64",0,6,59282,443,1,66,16,0,0,10000,660000,6,54,17,6
"65",0.057,6,443,41727,6,5052,26,32,0,105.263157894737,88631.5789473684,15,18,39,5
"66",0.017,6,443,53755,2,108,25,32,0,117.647058823529,6352.94117647059,13,35,41,5
"67",0,6,63798,80,1,55,16,0,0,10000,550000,9,31,3,6
"68",0.062,6,40632,443,8,1639,27,0,0,129.032258064516,26435.4838709677,10,21,16,5
"69",0.4,6,443,58562,40,35073,27,32,0,100,87682.5,11,16,47,5
"70",0.046,6,34903,443,5,636,26,0,0,108.695652173913,13826.0869565217,10,22,33,5
"71",0.949,6,41452,443,3,1093,24,0,0,3.16122233930453,1151.73867228662,13,48,5,5
"72",0.143,6,43540,443,5,633,26,0,0,34.965034965035,4426.57342657343,13,31,13,5
"73",0.039,6,80,53670,2,108,17,32,0,51.2820512820513,2769.23076923077,9,23,18,5
"74",0,6,48251,80,1,66,16,0,0,10000,660000,13,22,21,5
"75",0.454,6,49218,443,10,1412,26,0,0,22.0264317180617,3110.13215859031,14,16,18,5
"76",0.077,6,80,51266,4,1629,26,32,0,51.9480519480519,21155.8441558442,16,51,55,5
"77",0.025,6,41498,80,2,140,18,0,0,80,5600,14,17,57,5
"78",0.072,6,443,39513,8,859,24,32,0,111.111111111111,11930.5555555556,7,42,39,5
"79",0,6,44411,443,1,66,16,0,0,10000,660000,15,16,9,5
"80",0,6,80,49146,1,66,16,32,0,10000,660000,9,27,58,6
"81",0,6,80,53809,1,58,18,0,0,10000,580000,17,15,18,5
"82",0,6,80,37261,1,66,16,0,0,10000,660000,7,44,20,5
"83",0.012,6,63544,80,2,108,17,0,0,166.666666666667,9000,13,8,47,5
"84",0,6,443,52742,1,112,24,32,0,10000,1120000,16,14,39,5
"85",0,6,80,53053,1,66,18,0,0,10000,660000,13,25,24,5
"86",0,6,48025,445,1,66,16,0,0,10000,660000,11,55,48,5
"87",0,6,443,60882,3,193,25,0,0,30000,1930000,10,22,38,5
"88",0,6,443,43391,1,66,16,0,0,10000,660000,9,50,28,5
"89",0.93,6,35934,80,13,10613,26,0,0,13.9784946236559,11411.8279569892,10,14,55,6
"90",0,6,80,57118,1,66,16,32,0,10000,660000,8,42,37,6
"91",0,6,443,61608,1,54,16,32,0,10000,540000,17,6,14,5
"92",0,6,80,58278,1,66,16,0,0,10000,660000,12,54,39,5
"93",0,6,443,50872,2,132,17,32,0,20000,1320000,14,36,58,5
"94",0,6,33674,80,1,66,16,0,0,10000,660000,11,0,42,5
"95",0,6,443,52558,1,66,16,0,0,10000,660000,17,39,59,5
"96",0,6,443,38413,3,229,25,0,0,30000,2290000,10,31,5,6
"97",0,17,53,49936,2,294,0,0,0,20000,2940000,16,24,16,5
"98",0,6,445,51461,1,108,24,0,0,10000,1080000,8,54,51,6
"99",0,6,443,56595,1,66,16,32,0,10000,660000,7,22,20,5
"100",0.017,6,443,45562,3,251,25,32,0,176.470588235294,14764.7058823529,15,49,7,5
"101",0,6,55193,80,1,66,17,0,0,10000,660000,9,56,39,6
"102",0.002,17,53,52157,2,292,0,0,0,1000,146000,17,4,55,5
"103",0,6,80,35983,1,66,16,32,0,10000,660000,10,53,1,5
"104",0,6,80,54537,1,66,16,0,0,10000,660000,7,39,1,5
"105",0.035,6,59773,443,3,251,25,0,0,85.7142857142857,7171.42857142857,12,14,42,5
"106",0,17,53,42738,2,240,0,0,0,20000,2400000,13,34,38,5
"107",0.036,6,443,59907,3,205,25,32,0,83.3333333333333,5694.44444444445,10,19,52,5
"108",0.225,6,64493,443,2,769,24,0,0,8.88888888888889,3417.77777777778,14,22,20,5
"109",0,6,80,45258,1,66,16,32,0,10000,660000,14,12,14,5
"110",0,6,51050,443,1,66,16,0,0,10000,660000,13,55,45,5
"111",0,6,63136,443,1,55,16,0,0,10000,550000,9,26,38,6
"112",0.003,17,53,41675,2,333,0,0,0,666.666666666667,111000,10,44,6,6
"113",0.018,6,64074,443,3,215,25,0,0,166.666666666667,11944.4444444444,9,54,38,6
"114",0,6,443,54691,1,66,16,32,0,10000,660000,7,13,43,6
"115",1.835,6,443,54617,7,586,25,32,0,3.81471389645777,319.346049046322,16,24,56,5
"116",1.713,6,443,38864,13,4999,27,32,0,7.58902510215995,2918.27203736135,13,9,12,5
"117",0.002,17,53,58413,2,270,0,0,0,1000,135000,7,27,4,6
"118",0,6,80,53581,1,66,16,0,0,10000,660000,11,59,35,5
"119",0.036,6,34835,443,2,132,17,0,0,55.5555555555556,3666.66666666667,7,18,58,6
"120",0,6,51822,80,1,66,16,0,0,10000,660000,12,13,15,5
"121",0,17,54034,53,2,156,0,0,0,20000,1560000,10,4,37,5
"122",0.497,6,47901,80,6,1689,24,0,0,12.0724346076459,3398.39034205231,10,29,16,6
"123",0,6,80,53847,1,54,17,32,0,10000,540000,6,10,43,6
"124",0.005,6,45461,445,2,174,24,0,0,400,34800,8,2,42,5
"125",0,6,80,47880,1,66,17,32,0,10000,660000,10,40,56,5
"126",0,6,443,58173,2,108,17,32,0,20000,1080000,15,27,44,5
"127",0,6,56231,443,1,66,16,0,0,10000,660000,14,19,59,5
"128",0,17,137,137,1,92,0,0,0,10000,920000,0,57,20,5
"129",0.022,6,39628,80,2,699,24,0,0,90.9090909090909,31772.7272727273,10,43,8,6
"130",0.099,6,80,59381,18,55347,27,0,0,181.818181818182,559060.606060606,10,21,50,6
"131",0.032,17,53,45835,2,272,0,0,0,62.5,8500,11,20,3,5
"132",0.026,6,54663,80,2,108,17,0,0,76.9230769230769,4153.84615384615,15,31,50,5
"133",0,6,52809,443,1,66,16,0,0,10000,660000,14,38,16,5
"134",0,6,63279,80,1,55,16,0,0,10000,550000,19,37,1,5
"135",0,6,35139,443,1,66,16,0,0,10000,660000,10,41,51,6
"136",0,6,61636,80,1,55,16,0,0,10000,550000,11,47,45,5
"137",0,6,35524,443,2,108,4,0,0,20000,1080000,7,44,16,5
"138",0,6,43145,443,1,66,16,0,0,10000,660000,14,57,27,5
"139",0.003,6,51320,445,2,174,24,0,0,666.666666666667,58000,21,48,43,5
"140",0,6,80,53375,1,560,24,32,0,10000,5600000,12,57,8,5
"141",0,6,56292,80,1,66,17,0,0,10000,660000,16,12,53,5
"142",0,17,53,58579,1,170,0,0,0,10000,1700000,9,34,36,5
"143",0,17,58131,53,2,166,0,0,0,20000,1660000,11,7,23,5
"144",0.003,17,53,57852,2,317,0,0,0,666.666666666667,105666.666666667,15,26,17,5
"145",1.632,6,33994,80,2,132,17,0,0,1.22549019607843,80.8823529411765,10,19,29,6
"146",0.544,6,443,57397,13,5300,27,32,0,23.8970588235294,9742.64705882353,16,20,25,5
"147",0,17,60843,53,1,82,0,0,0,10000,820000,10,5,38,5
"148",0,6,37647,80,1,66,17,0,0,10000,660000,13,20,23,5
"149",0.023,6,42186,8082,2,338,24,0,0,86.9565217391304,14695.652173913,6,26,16,6
"150",0,6,36743,80,1,66,16,0,0,10000,660000,9,45,48,5
"151",0,6,443,53177,3,2493,24,32,0,30000,24930000,9,20,20,5
"152",1.154,6,80,49161,2,132,17,32,0,1.73310225303293,114.384748700173,12,46,41,5
"153",0,6,80,51600,1,66,16,32,0,10000,660000,6,6,19,6
"154",1.653,6,41685,443,22,1861,24,0,0,13.3091349062311,1125.83182093164,12,55,24,5
"155",0,17,53,61294,1,120,0,0,0,10000,1200000,15,56,51,5
"156",0.006,17,42083,53,2,154,0,0,0,333.333333333333,25666.6666666667,7,48,26,5
"157",0,17,57900,53,2,152,0,0,0,20000,1520000,13,19,9,5
"158",0,6,36963,80,1,66,16,0,0,10000,660000,7,32,44,5
"159",0.034,17,53,57453,2,218,0,0,0,58.8235294117647,6411.76470588235,6,19,51,6
"160",0,17,53884,53,1,73,0,0,0,10000,730000,12,22,37,5
"161",0,6,48131,443,1,66,16,0,0,10000,660000,10,18,3,6
"162",0,6,443,36158,1,66,16,32,0,10000,660000,14,24,50,5
"163",0,6,443,40800,1,66,16,32,0,10000,660000,12,30,33,5
"164",0.001,6,64879,443,2,108,17,0,0,2000,108000,17,28,41,5
"165",0,6,443,53622,1,66,16,32,0,10000,660000,17,29,47,5
"166",0.201,6,443,35130,10,5101,26,32,0,49.7512437810945,25378.1094527363,6,10,54,6
"167",0,6,44934,80,1,66,17,0,0,10000,660000,14,49,26,5
"168",0.017,6,52170,443,2,178,24,0,0,117.647058823529,10470.5882352941,16,12,6,5
"169",4.129,6,61023,443,37,5421,27,0,0,8.96100750787116,1312.90869459918,7,41,59,6
"170",0.353,6,443,60792,7,5333,26,0,0,19.8300283286119,15107.6487252125,10,38,57,5
"171",0,6,46205,80,1,66,17,0,0,10000,660000,13,2,15,5
"172",0.132,6,59829,443,9,1761,27,0,0,68.1818181818182,13340.9090909091,11,3,32,6
"173",0,6,80,51681,1,66,17,32,0,10000,660000,16,37,1,5
"174",0,6,80,35441,1,66,17,32,0,10000,660000,7,37,8,5
"175",0.013,6,52847,80,2,140,18,0,0,153.846153846154,10769.2307692308,12,13,4,5
"176",0,6,443,38478,1,54,16,32,0,10000,540000,10,13,36,6
"177",0,6,63188,80,1,55,16,0,0,10000,550000,19,36,26,5
"178",0,6,80,50255,1,66,16,0,0,10000,660000,15,50,36,5
"179",1.585,6,44088,443,12,2825,24,0,0,7.57097791798107,1782.33438485804,17,35,46,5
"180",0,6,52084,443,1,55,16,0,0,10000,550000,11,35,18,5
"181",0.001,17,33416,53,2,150,0,0,0,2000,150000,12,26,54,5
"182",0,6,443,55495,1,66,16,32,0,10000,660000,15,34,4,5
"183",0,6,39971,443,1,66,16,0,0,10000,660000,8,32,22,5
"184",0.269,6,46307,80,2,602,24,0,0,7.43494423791822,2237.91821561338,8,33,5,5
"185",0,6,48805,80,1,54,17,0,0,10000,540000,14,23,29,5
"186",0.058,6,49904,443,6,1079,24,0,0,103.448275862069,18603.4482758621,16,38,44,5
"187",0,6,49472,80,1,66,16,0,0,10000,660000,16,23,50,5
"188",0.122,6,44168,80,28,2338,27,0,0,229.508196721311,19163.9344262295,12,15,54,5
"189",0.331,6,58689,443,6,1509,26,0,0,18.1268882175227,4558.91238670695,10,15,31,5
"190",0,6,80,60202,1,66,17,32,0,10000,660000,16,54,21,5
"191",0.002,6,57600,445,2,174,24,0,0,1000,87000,13,9,7,5
"192",0,17,49293,53,1,77,0,0,0,10000,770000,16,54,15,5
"193",0,6,445,36437,1,108,24,0,0,10000,1080000,10,42,19,6
"194",0.002,6,40603,445,2,174,24,0,0,1000,87000,7,2,13,6
"195",0.072,6,40367,80,4,1076,26,0,0,55.5555555555556,14944.4444444444,10,40,10,5
"196",0.003,17,41284,53,2,162,0,0,0,666.666666666667,54000,15,17,46,5
"197",0,6,51104,443,1,66,16,0,0,10000,660000,16,13,45,5
"198",0,6,41000,80,1,66,16,0,0,10000,660000,12,55,58,5
"199",1.035,6,60196,443,27,2881,26,0,0,26.0869565217391,2783.57487922705,16,13,13,5
"200",0,6,55476,443,1,55,16,0,0,10000,550000,6,20,56,6
"201",0,6,62674,80,2,108,17,0,0,20000,1080000,10,31,9,6
"202",1.052,6,80,46086,7,13174,27,0,0,6.65399239543726,12522.8136882129,8,31,44,5
"203",0,6,443,55813,1,66,16,32,0,10000,660000,11,13,37,5
"204",0,6,80,50507,1,66,16,32,0,10000,660000,16,24,44,5
"205",0,6,80,41009,1,54,16,32,0,10000,540000,12,1,52,5
"206",0,6,57805,443,1,66,16,0,0,10000,660000,14,5,19,5
"207",0,6,80,59435,1,66,16,0,0,10000,660000,9,28,25,5
"208",0.023,6,46242,80,2,132,17,0,0,86.9565217391304,5739.13043478261,15,14,9,5
"209",0.287,6,58719,443,29,2343,26,0,0,101.045296167247,8163.76306620209,11,19,49,5
"210",0.024,6,46646,443,3,2479,24,0,0,125,103291.666666667,13,30,30,5
"211",0,6,443,55140,1,66,16,32,0,10000,660000,12,40,55,5
"212",0.026,6,33769,80,2,132,17,0,0,76.9230769230769,5076.92307692308,10,56,28,6
"213",0.035,6,80,59199,5,989,27,32,0,142.857142857143,28257.1428571429,10,40,51,5
"214",0,6,443,36778,1,66,16,0,0,10000,660000,6,14,11,6
"215",0,6,443,53475,1,66,16,32,0,10000,660000,16,18,1,5
"216",0.026,6,43417,443,11,1177,24,0,0,423.076923076923,45269.2307692308,9,46,34,5
"217",0,6,80,52453,1,66,16,32,0,10000,660000,10,22,36,6
"218",0,6,80,50145,1,66,16,32,0,10000,660000,10,41,39,6
"219",0.033,17,53,60151,2,392,0,0,0,60.6060606060606,11878.7878787879,12,13,9,5
"220",0.079,6,443,62025,5,754,24,32,0,63.2911392405063,9544.30379746835,10,36,46,6
"221",0,6,56089,443,1,66,16,0,0,10000,660000,12,0,44,5
"222",0,6,80,56808,1,66,16,32,0,10000,660000,12,10,29,5
"223",0,6,59781,443,1,66,16,0,0,10000,660000,14,10,32,5
"224",0,6,80,56957,1,66,16,0,0,10000,660000,14,3,2,5
"225",0.031,17,53,46110,2,272,0,0,0,64.5161290322581,8774.1935483871,15,32,38,5
"226",0.235,6,39537,80,5,793,27,0,0,21.2765957446809,3374.46808510638,11,43,41,5
"227",0,17,37963,53,2,160,0,0,0,20000,1600000,9,42,4,5
"228",0,6,48254,80,1,66,16,0,0,10000,660000,13,53,55,5
"229",0,17,137,137,1,92,0,0,0,10000,920000,6,23,38,5
"230",0.047,6,80,52301,5,3363,27,32,0,106.382978723404,71553.1914893617,6,6,3,6
"231",0.605,6,40851,443,12,1952,27,0,0,19.8347107438017,3226.44628099174,16,23,42,5
"232",0.004,17,53604,53,2,154,0,0,0,500,38500,7,42,5,5
"233",0.023,6,47147,443,3,251,25,0,0,130.434782608696,10913.0434782609,14,14,5,5
"234",0.045,17,60208,53,2,176,0,0,0,44.4444444444444,3911.11111111111,12,6,22,5
"235",0.021,6,42373,443,3,229,25,0,0,142.857142857143,10904.7619047619,15,55,47,5
"236",0,6,443,49333,1,66,16,32,0,10000,660000,8,55,29,6
"237",0,6,445,40199,1,108,24,0,0,10000,1080000,3,5,31,6
"238",0,17,53,55698,1,237,0,0,0,10000,2370000,11,12,52,5
"239",0,6,443,55325,1,66,16,0,0,10000,660000,13,7,52,5
"240",0,17,40627,53,1,72,0,0,0,10000,720000,7,58,56,5
"241",0,17,53,43788,1,90,0,0,0,10000,9e+05,13,39,56,5
"242",0,6,36155,80,1,66,16,0,0,10000,660000,9,22,28,6
"243",0,6,58953,443,1,66,16,0,0,10000,660000,15,2,57,5
"244",0,6,53475,443,1,66,16,0,0,10000,660000,16,16,50,5
"245",0,6,37244,80,1,66,16,0,0,10000,660000,12,5,30,5
"246",0.013,17,52618,53,2,144,0,0,0,153.846153846154,11076.9230769231,13,9,16,5
"247",0,6,445,42289,1,108,24,0,0,10000,1080000,5,39,17,5
"248",0,6,63449,80,1,55,16,0,0,10000,550000,9,29,4,6
"249",0,6,39279,80,1,66,17,0,0,10000,660000,16,24,16,5
"250",0.037,17,48784,53,2,142,0,0,0,54.0540540540541,3837.83783783784,10,41,19,5
"251",0.029,6,57330,80,2,120,18,0,0,68.9655172413793,4137.93103448276,17,23,32,5
"252",0,6,51629,80,1,66,16,0,0,10000,660000,8,34,51,5
"253",0.268,6,44195,443,12,1562,26,0,0,44.7761194029851,5828.35820895522,8,44,17,5
"254",0.073,6,58847,443,5,608,26,0,0,68.4931506849315,8328.76712328767,14,56,59,5
"255",0,6,37868,443,1,66,16,0,0,10000,660000,16,14,47,5
"256",0,6,443,34605,2,163,25,32,0,20000,1630000,7,24,6,5
"257",0,6,443,41302,1,66,16,0,0,10000,660000,16,38,25,5
"258",0,6,80,49692,1,479,24,32,0,10000,4790000,15,38,40,5
"259",0,6,443,58863,1,100,24,32,0,10000,1e+06,7,37,49,6
"260",0,6,64040,80,1,55,16,0,0,10000,550000,19,39,40,5
"261",0,6,443,53724,1,66,16,32,0,10000,660000,17,49,49,5
"262",0,6,32769,80,1,66,16,0,0,10000,660000,12,28,13,5
"263",0,6,50127,80,2,108,17,0,0,20000,1080000,12,46,38,5
"264",0,17,64605,53,1,75,0,0,0,10000,750000,14,12,36,5
"265",0,17,65101,53,1,87,0,0,0,10000,870000,11,43,4,5
"266",0,17,59872,53,2,170,0,0,0,20000,1700000,10,25,31,6
"267",0,6,80,39848,1,66,16,0,0,10000,660000,13,20,47,5
"268",0,6,45648,443,1,66,16,0,0,10000,660000,8,59,2,5
"269",0.033,17,53,36899,2,388,0,0,0,60.6060606060606,11757.5757575758,10,17,0,6
"270",0,6,80,37147,1,66,17,32,0,10000,660000,9,30,12,5
"271",0,6,443,33677,1,66,16,0,0,10000,660000,13,54,38,5
"272",0,6,80,38543,1,66,16,0,0,10000,660000,12,27,28,5
"273",0,6,55107,80,1,66,16,0,0,10000,660000,8,34,57,5
"274",0.004,17,53,46011,2,317,0,0,0,500,79250,14,10,52,5
"275",0,6,80,53776,1,54,17,32,0,10000,540000,6,10,28,6
"276",0,6,57321,80,1,66,16,0,0,10000,660000,14,20,49,5
"277",0,17,137,137,1,92,0,0,0,10000,920000,5,1,43,5
"278",0.371,6,443,38081,12,13083,26,0,0,32.3450134770889,35264.1509433962,12,10,26,5
"279",0,6,80,56078,1,66,16,32,0,10000,660000,15,38,23,5
"280",0.002,6,57600,445,2,174,24,0,0,1000,87000,5,25,53,5
"281",0,6,46274,80,1,66,16,0,0,10000,660000,10,20,4,6
"282",1.136,6,44478,80,3,494,24,0,0,2.64084507042254,434.859154929578,17,32,3,5
"283",0,6,445,44606,1,70,24,0,0,10000,7e+05,14,56,31,5
"284",0,6,80,40788,1,66,17,32,0,10000,660000,15,23,55,5
"285",0.01,17,53,56602,2,223,0,0,0,200,22300,9,54,40,6
"286",0,6,32886,80,1,66,16,0,0,10000,660000,7,53,59,5
"287",0,17,39490,53,2,142,0,0,0,20000,1420000,7,17,51,6
"288",0.023,6,55344,80,2,140,18,0,0,86.9565217391304,6086.95652173913,15,12,15,5
"289",0,17,53473,1124,1,79,0,0,0,10000,790000,6,26,15,6
"290",0,6,443,42907,1,66,16,32,0,10000,660000,11,20,11,5
"291",0.595,6,80,38987,2,645,24,32,0,3.36134453781513,1084.03361344538,15,19,39,5
"292",0.001,17,53298,1900,2,332,0,0,0,2000,332000,11,7,47,5
"293",0,17,54732,53,2,168,0,0,0,20000,1680000,15,0,29,5
"294",0,17,53,48871,2,244,0,0,0,20000,2440000,10,41,19,5
"295",0,6,57727,80,2,108,17,0,0,20000,1080000,6,47,44,6
"296",0.107,6,49966,443,2,1000,24,0,0,18.6915887850467,9345.79439252336,17,30,0,5
"297",0,6,54330,80,1,54,16,0,0,10000,540000,15,38,7,5
"298",0,6,443,51270,3,198,17,32,0,30000,1980000,13,36,47,5
"299",0,17,137,137,1,92,0,0,0,10000,920000,10,39,21,6
"300",1.537,6,49258,443,11,1537,24,0,0,7.15679895901106,1000,12,43,59,5
"301",0.033,17,53,33596,2,229,0,0,0,60.6060606060606,6939.39393939394,16,26,5,5
"302",0,6,443,56099,1,66,16,32,0,10000,660000,9,8,36,5
"303",0.036,6,53767,80,2,132,17,0,0,55.5555555555556,3666.66666666667,18,53,49,5
"304",0,6,443,49800,1,66,16,0,0,10000,660000,10,46,0,5
"305",0,6,55933,80,1,66,16,0,0,10000,660000,12,14,49,5
"306",0,6,80,55469,1,66,16,32,0,10000,660000,6,19,21,6
"307",0,17,53,49200,1,227,0,0,0,10000,2270000,11,36,22,5
"308",0,6,80,37892,1,66,16,32,0,10000,660000,9,3,2,5
"309",0,6,443,54543,1,66,16,32,0,10000,660000,15,7,35,5
"310",0.003,6,46627,80,2,132,17,0,0,666.666666666667,44000,14,34,6,5
"311",0,6,50380,443,2,108,4,32,0,20000,1080000,7,18,58,6
"312",0.04,17,58646,53,2,142,0,0,0,50,3550,7,41,46,5
"313",0.817,6,38682,80,4,690,26,0,0,4.89596083231334,844.553243574051,16,20,33,5
"314",0,6,443,41792,1,66,16,32,0,10000,660000,12,6,51,5
"315",0.035,6,443,59259,2,163,25,32,0,57.1428571428571,4657.14285714286,7,14,6,6
"316",0,6,445,39467,1,108,24,0,0,10000,1080000,10,33,52,5
"317",0,6,443,42130,1,66,16,32,0,10000,660000,7,38,58,6
"318",0,6,42130,443,2,185,25,0,0,20000,1850000,12,12,41,5
"319",0.002,17,52944,53,2,170,0,0,0,1000,85000,11,19,24,5
"320",0,17,38664,53,1,72,0,0,0,10000,720000,9,32,34,5
"321",0,17,53,55617,1,101,0,0,0,10000,1010000,13,11,13,5
"322",0.004,17,37910,53,2,148,0,0,0,500,37000,13,19,16,5
"323",0.238,6,43515,443,10,1485,26,0,0,42.0168067226891,6239.49579831933,17,3,59,5
"324",0,6,443,33146,1,66,16,0,0,10000,660000,11,17,19,5
"325",0,6,52671,443,1,55,16,0,0,10000,550000,6,8,7,6
"326",0.437,6,443,50403,6,3738,26,32,0,13.7299771167048,8553.77574370709,16,30,12,5
"327",0,6,34098,80,1,66,16,0,0,10000,660000,7,42,29,5
"328",0,6,443,49134,1,66,16,32,0,10000,660000,13,29,30,5
"329",0,17,51628,53,1,92,0,0,0,10000,920000,16,22,3,5
"330",0.302,6,60286,443,11,1300,26,0,0,36.4238410596027,4304.6357615894,16,48,53,5
"331",0,6,80,49574,1,66,16,0,0,10000,660000,10,28,30,6
"332",0.001,17,56470,53,2,156,0,0,0,2000,156000,12,54,21,5
"333",0,6,443,62052,1,66,16,32,0,10000,660000,9,22,6,6
"334",0,6,80,38595,1,58,18,0,0,10000,580000,12,4,46,5
"335",0.017,6,443,54359,3,215,25,32,0,176.470588235294,12647.0588235294,7,27,7,6
"336",0,6,80,46703,1,66,16,32,0,10000,660000,12,12,19,5
"337",0,6,41287,443,1,66,16,0,0,10000,660000,12,4,58,5
"338",0,6,56182,443,1,66,16,0,0,10000,660000,17,30,57,5
"339",0.032,17,53,60310,2,245,0,0,0,62.5,7656.25,8,34,33,5
"340",0,6,60218,80,1,66,16,0,0,10000,660000,9,6,4,5
"341",0.002,6,45461,445,2,174,24,0,0,1000,87000,5,17,16,5
"342",0,6,52582,80,1,66,16,0,0,10000,660000,9,7,54,5
"343",0.524,6,39624,443,11,12452,24,0,0,20.9923664122137,23763.358778626,8,58,29,6
"344",0.032,17,53,43771,2,295,0,0,0,62.5,9218.75,13,19,42,5
"345",0.036,17,53,42433,2,256,0,0,0,55.5555555555556,7111.11111111111,10,42,45,6
"346",0.631,6,443,57823,20,73874,26,0,0,31.6957210776545,117074.484944532,18,35,2,5
"347",0,6,443,39730,1,66,16,32,0,10000,660000,7,39,30,5
