"","Duration","Proto","SrcPt","DstPt","Packets","Bytes","Flags","Tos","class","Packets_speed","Bytes_speed","Hour","Min","Sec"
"39",0,6,56119,443,1,66,16,0,0,10000,660000,30,50,7
"40",0,6,443,39775,1,66,16,32,0,10000,660000,6,52,9
"41",0.887,6,443,46574,4,634,24,32,0,4.50958286358512,714.768883878241,27,8,8
"42",0,6,56814,443,1,55,16,0,0,10000,550000,41,18,7
"43",0,6,80,33881,1,54,16,32,0,10000,540000,40,50,9
"44",0,6,80,57928,1,66,16,32,0,10000,660000,34,55,5
"45",0,6,8082,50807,1,212,24,32,0,10000,2120000,1,11,6
"46",0.001,6,33914,443,2,925,24,0,0,2000,925000,34,30,2
"47",0,17,53,42260,2,462,0,0,0,20000,4620000,7,42,1
"48",1.72,6,443,48061,4,977,24,32,0,2.32558139534884,568.023255813953,23,30,2
"49",0,17,138,138,1,262,0,0,0,10000,2620000,53,10,9
"50",0.126,6,443,61438,2,200,24,32,0,15.8730158730159,1587.30158730159,42,23,3
"51",0.169,6,59361,443,11,2076,26,0,0,65.0887573964497,12284.0236686391,43,52,2
"52",1.102,6,80,37952,23,45496,26,32,0,20.8711433756806,41284.9364791289,50,29,6
"53",0,6,39411,443,1,66,16,0,0,10000,660000,40,56,4
"54",0,17,53,58776,1,144,0,0,0,10000,1440000,22,31,7
"55",0,6,80,33529,1,66,17,32,0,10000,660000,30,6,1
"56",0.602,6,51390,443,6,1244,24,0,0,9.96677740863787,2066.44518272425,34,5,7
"57",0,6,443,48115,1,66,16,32,0,10000,660000,40,2,1
"58",0,6,443,49448,1,66,16,32,0,10000,660000,11,29,3
"59",0,6,443,53987,1,66,16,0,0,10000,660000,42,50,4
"60",0,6,443,35906,2,163,25,0,0,20000,1630000,51,47,6
"61",0.027,6,42528,80,2,132,17,0,0,74.0740740740741,4888.88888888889,9,21,4
"62",1.411,6,80,53189,2,368,26,32,0,1.41743444365698,260.807937632884,11,51,7
"63",0,6,57354,443,1,55,16,0,0,10000,550000,53,40,3
"64",0.233,6,59749,80,3,1908,24,0,0,12.8755364806867,8188.84120171674,39,23,2
"65",0,17,39389,53,2,150,0,0,0,20000,1500000,46,15,6
"66",0,6,443,40367,4,295,25,0,0,40000,2950000,20,1,9
"67",1.488,6,443,40713,9,7233,26,32,0,6.04838709677419,4860.88709677419,53,28,9
"68",0,6,443,42900,1,66,16,32,0,10000,660000,42,14,1
"69",0,6,8082,60802,1,212,24,32,0,10000,2120000,25,13,1
"70",0.333,6,57358,80,2,638,24,0,0,6.00600600600601,1915.91591591592,43,1,5
"71",0.204,6,8082,49198,2,400,24,32,0,9.80392156862745,1960.78431372549,48,31,3
"72",0,6,80,45722,1,54,16,32,0,10000,540000,29,46,9
"73",0.606,6,80,45432,2,675,26,32,0,3.3003300330033,1113.86138613861,11,57,4
"74",0,6,443,64055,1,66,16,32,0,10000,660000,50,58,0
"75",0.001,6,37884,445,2,174,24,0,0,2000,174000,20,21,0
"76",2.115,6,443,44459,14,20367,26,32,0,6.6193853427896,9629.78723404255,48,50,7
"77",0.034,6,49089,443,5,453,25,0,0,147.058823529412,13323.5294117647,14,9,3
"78",0,6,43001,80,1,66,16,0,0,10000,660000,7,0,3
"79",0,6,443,48702,1,66,16,0,0,10000,660000,26,23,0
"80",0.29,6,443,59248,2,200,24,0,0,6.89655172413793,689.655172413793,34,31,1
"81",0,6,36013,443,1,54,16,0,0,10000,540000,5,40,5
"82",4.363,6,56716,80,54,8551,24,0,0,12.376804950722,1959.88998395599,52,37,2
"83",0,6,59426,80,1,55,16,0,0,10000,550000,9,28,3
"84",0.001,6,443,45998,2,772,24,32,0,2000,772000,45,36,3
"85",0,6,39631,443,1,66,16,0,0,10000,660000,11,36,6
"86",0.089,6,443,56503,5,493,26,0,0,56.1797752808989,5539.32584269663,28,53,7
"87",0,6,80,44911,1,74,18,0,0,10000,740000,0,14,1
"88",0.001,6,54019,443,2,108,4,32,0,2000,108000,19,27,8
"89",0,6,80,59346,1,66,17,32,0,10000,660000,51,25,2
"90",0.021,6,56978,8082,2,338,24,0,0,95.2380952380952,16095.2380952381,22,7,8
"91",0.816,6,443,36360,2,1086,24,32,0,2.45098039215686,1330.88235294118,23,19,9
"92",0.032,6,443,54902,3,217,29,32,0,93.75,6781.25,18,7,6
"93",0,17,60615,53,1,75,0,0,0,10000,750000,30,20,5
"94",0,6,35209,443,1,66,16,0,0,10000,660000,39,51,2
"95",0.073,6,443,46410,3,4647,26,32,0,41.0958904109589,63657.5342465753,11,53,6
"96",0,17,39418,53,1,87,0,0,0,10000,870000,4,26,0
"97",0.003,17,53,58183,2,477,0,0,0,666.666666666667,159000,9,47,9
"98",0.017,6,52656,80,2,140,18,0,0,117.647058823529,8235.29411764706,48,11,8
"99",0,6,80,34669,1,66,16,0,0,10000,660000,49,49,8
"100",0,6,64754,80,1,55,16,0,0,10000,550000,12,4,9
"101",1.175,6,45965,443,16,4521,26,0,0,13.6170212765957,3847.65957446808,9,53,8
"102",0.037,6,443,60916,5,509,26,32,0,135.135135135135,13756.7567567568,34,21,1
"103",0.086,6,55406,443,5,906,26,0,0,58.1395348837209,10534.8837209302,42,43,8
"104",0,6,80,50999,1,66,16,32,0,10000,660000,50,34,2
"105",0,6,443,41313,1,66,16,0,0,10000,660000,43,27,3
"106",0,6,443,51418,1,66,16,32,0,10000,660000,28,26,7
"107",0,6,80,49851,1,66,16,32,0,10000,660000,12,12,2
"108",0.027,6,56165,80,2,132,17,0,0,74.0740740740741,4888.88888888889,41,20,4
"109",0,17,60365,53,1,86,0,0,0,10000,860000,17,46,7
"110",0,6,56148,443,1,66,16,0,0,10000,660000,12,10,4
"111",0.718,6,59325,443,11,1553,24,0,0,15.3203342618384,2162.95264623955,8,18,9
"112",0,6,443,46082,1,66,16,32,0,10000,660000,47,3,0
"113",0.033,17,53,34590,2,371,0,0,0,60.6060606060606,11242.4242424242,50,42,7
"114",0.09,6,443,48192,4,419,26,0,0,44.4444444444444,4655.55555555556,51,46,8
"115",0,6,55024,80,1,66,16,0,0,10000,660000,19,44,2
"116",0,17,36818,53,2,136,0,0,0,20000,1360000,6,11,6
"117",0.005,17,43952,53,2,156,0,0,0,400,31200,54,34,3
"118",0.04,17,53,36188,2,234,0,0,0,50,5850,9,52,8
"119",0,6,50462,443,1,66,16,0,0,10000,660000,32,29,1
"120",0.015,6,443,32810,2,132,17,32,0,133.333333333333,8800,1,10,3
"121",0,6,52372,443,1,55,16,0,0,10000,550000,25,51,4
"122",0.101,6,49699,80,2,120,18,0,0,19.8019801980198,1188.11881188119,13,53,6
"123",0,6,34577,443,1,66,16,0,0,10000,660000,2,17,8
"124",0,6,443,43051,1,54,16,32,0,10000,540000,30,22,6
"125",0,17,53,55911,2,299,0,0,0,20000,2990000,29,2,4
"126",0.074,6,63989,8000,6,646,27,0,0,81.0810810810811,8729.72972972973,14,35,2
"127",0.112,6,48307,443,7,1860,26,0,0,62.5,16607.1428571429,55,11,7
"128",0,6,59283,443,1,66,16,0,0,10000,660000,29,31,1
"129",0,6,443,33063,1,54,16,32,0,10000,540000,50,38,1
"130",0,6,80,43616,1,66,16,32,0,10000,660000,20,52,1
"131",0.081,6,53350,443,4,540,26,0,0,49.3827160493827,6666.66666666667,32,49,3
"132",0,17,53,42788,1,94,0,0,0,10000,940000,44,34,8
"133",0,6,60447,443,1,66,16,0,0,10000,660000,28,59,0
"134",0,6,46505,443,1,66,16,0,0,10000,660000,3,56,9
"135",0.005,6,60689,445,2,174,24,0,0,400,34800,15,28,4
"136",0,6,443,50345,1,66,16,32,0,10000,660000,53,24,7
"137",0.365,6,40029,443,5,962,26,0,0,13.6986301369863,2635.61643835616,7,54,7
"138",0,6,36719,80,1,66,16,0,0,10000,660000,27,52,6
"139",0,6,80,40794,1,66,16,0,0,10000,660000,51,0,6
"140",0,6,55369,443,1,66,16,0,0,10000,660000,30,0,0
"141",0.104,6,57638,443,5,631,26,0,0,48.0769230769231,6067.30769230769,28,41,4
"142",0,6,80,43532,1,66,16,32,0,10000,660000,40,47,9
"143",0.001,17,53,39924,2,248,0,0,0,2000,248000,32,5,7
"144",0.034,6,52561,443,5,631,26,0,0,147.058823529412,18558.8235294118,14,53,8
"145",0.214,6,41415,443,11,2532,24,0,0,51.4018691588785,11831.7757009346,55,34,8
"146",0,6,443,35586,1,66,16,32,0,10000,660000,8,52,5
"147",0.024,6,52120,80,2,132,17,0,0,83.3333333333333,5500,42,48,4
"148",0.295,6,80,59790,4,794,26,32,0,13.5593220338983,2691.52542372881,37,35,3
"149",0,6,45611,80,1,66,16,0,0,10000,660000,19,45,9
"150",0.039,6,34027,443,3,608,24,0,0,76.9230769230769,15589.7435897436,13,26,1
"151",0.029,6,46933,443,3,1893,24,0,0,103.448275862069,65275.8620689655,0,5,0
"152",0,6,80,56975,1,66,16,32,0,10000,660000,53,4,3
"153",0.015,6,80,41057,3,1002,26,32,0,200,66800,43,53,3
"154",0,6,445,49163,2,252,24,0,0,20000,2520000,2,1,3
"155",0.02,6,443,39413,2,132,17,32,0,100,6600,15,30,3
"156",0,17,138,138,1,243,0,0,0,10000,2430000,37,1,2
"157",0,17,53,33480,2,188,0,0,0,20000,1880000,35,23,6
"158",0.247,6,57649,443,4,1907,24,0,0,16.1943319838057,7720.64777327935,13,48,8
"159",0,17,63971,53,1,117,0,0,0,10000,1170000,22,22,9
"160",0,6,37008,80,1,66,17,0,0,10000,660000,37,45,0
"161",0,6,443,52825,1,66,16,32,0,10000,660000,42,49,1
"162",0.01,17,53,44095,2,537,0,0,0,200,53700,28,53,9
"163",0,6,443,57533,1,66,16,32,0,10000,660000,56,26,6
"164",0,6,8082,48380,1,212,24,32,0,10000,2120000,15,4,8
"165",0,6,38931,443,2,185,25,0,0,20000,1850000,33,12,9
"166",0,6,80,56512,1,54,16,32,0,10000,540000,22,43,5
"167",0.139,6,443,42881,5,1648,26,32,0,35.9712230215827,11856.1151079137,57,30,6
"168",0.107,6,42862,443,2,977,24,0,0,18.6915887850467,9130.84112149533,30,18,5
"169",0,6,443,54425,1,66,16,0,0,10000,660000,3,8,5
"170",0,6,54868,80,1,66,16,0,0,10000,660000,33,22,4
"171",0.474,6,443,36568,5,521,27,32,0,10.5485232067511,1099.15611814346,12,8,5
"172",0,17,53,55591,2,369,0,0,0,20000,3690000,2,53,4
"173",0.021,6,80,56384,2,108,17,32,0,95.2380952380952,5142.85714285714,21,26,4
"174",0,6,80,37336,1,66,16,32,0,10000,660000,8,7,0
"175",0,17,57318,53,1,72,0,0,0,10000,720000,37,18,3
"176",1.019,6,46029,443,14,1821,24,0,0,13.738959764475,1787.04612365064,48,57,1
"177",0.004,17,42069,53,2,146,0,0,0,500,36500,48,41,0
"178",0,17,33609,53,2,146,0,0,0,20000,1460000,35,51,1
"179",0.039,17,53,39016,2,488,0,0,0,51.2820512820513,12512.8205128205,44,30,5
"180",0,6,443,48700,1,66,17,32,0,10000,660000,10,55,5
"181",1.273,6,60803,8082,1169,77601,24,0,0,918.303220738413,60959.1516103692,21,48,3
"182",0,17,46167,53,2,156,0,0,0,20000,1560000,18,9,6
"183",0.535,6,443,37644,3,343,26,32,0,5.60747663551402,641.121495327103,7,16,7
"184",0,6,80,51162,1,66,16,32,0,10000,660000,16,1,1
"185",0.22,6,49194,8082,2,319,24,0,0,9.09090909090909,1450,53,40,8
"186",0,17,53,47437,2,300,0,0,0,20000,3e+06,40,22,4
"187",0,6,42283,80,1,66,16,0,0,10000,660000,5,36,3
"188",0.035,17,50089,53,2,146,0,0,0,57.1428571428571,4171.42857142857,59,40,6
"189",0,6,62735,443,1,55,16,0,0,10000,550000,4,53,2
"190",0,6,80,46380,1,66,16,32,0,10000,660000,1,37,9
"191",0,6,59105,443,1,66,16,0,0,10000,660000,34,11,8
"192",1.205,6,48340,443,68,7110,26,0,0,56.4315352697095,5900.41493775934,48,5,0
"193",0.002,17,43920,53,2,158,0,0,0,1000,79000,4,44,3
"194",0,6,57870,443,1,66,16,0,0,10000,660000,46,3,9
"195",0.004,17,53,60585,2,388,0,0,0,500,97000,18,40,8
"196",0,6,63022,443,1,55,16,0,0,10000,550000,42,47,0
"197",0.016,6,43790,80,2,132,17,0,0,125,8250,7,45,8
"198",0.079,6,443,42522,7,5057,26,32,0,88.6075949367089,64012.6582278481,22,21,4
"199",0,6,80,59581,1,66,18,32,0,10000,660000,55,51,8
"200",0.159,6,443,49777,8,9850,26,32,0,50.314465408805,61949.6855345912,59,52,6
"201",0,6,60035,80,1,66,16,0,0,10000,660000,9,33,8
"202",0,6,34238,80,1,66,16,0,0,10000,660000,39,29,0
"203",0,17,53,48948,1,247,0,0,0,10000,2470000,50,30,1
"204",0,6,443,35035,1,66,16,32,0,10000,660000,12,39,3
"205",0.035,17,53,59376,2,272,0,0,0,57.1428571428571,7771.42857142857,41,10,9
"206",0.089,6,443,57602,5,493,26,0,0,56.1797752808989,5539.32584269663,50,9,8
"207",0.003,6,36003,80,4,597,26,0,0,1333.33333333333,199000,5,9,0
"208",0,6,443,61104,1,66,16,32,0,10000,660000,15,28,1
"209",0,6,80,39571,1,66,16,32,0,10000,660000,54,5,5
"210",0.092,6,443,42947,5,531,24,32,0,54.3478260869565,5771.73913043478,42,32,1
"211",0.003,17,56775,53,2,152,0,0,0,666.666666666667,50666.6666666667,8,34,8
"212",0,6,51983,80,1,54,16,0,0,10000,540000,27,43,6
"213",0.004,17,41442,53,2,146,0,0,0,500,36500,37,4,0
"214",0,6,443,54933,1,54,16,0,0,10000,540000,47,9,5
"215",0.078,6,80,49530,2,840,24,0,0,25.6410256410256,10769.2307692308,28,44,7
"216",0.052,6,58237,443,6,972,26,0,0,115.384615384615,18692.3076923077,1,3,8
"217",0,6,55144,80,1,55,16,0,0,10000,550000,35,36,7
"218",0,6,51146,445,1,66,16,0,0,10000,660000,0,11,1
"219",0.437,6,57265,80,4,1094,24,0,0,9.1533180778032,2503.43249427918,25,45,0
"220",0,6,443,53490,2,108,17,32,0,20000,1080000,42,47,3
"221",0,6,53201,80,1,66,16,0,0,10000,660000,20,3,5
"222",1.547,6,80,54666,32,65312,26,32,0,20.6851971557854,42218.487394958,59,19,2
"223",0.11,6,44377,80,32,3047,26,0,0,290.909090909091,27700,20,37,9
"224",0,6,80,44115,1,66,16,32,0,10000,660000,58,3,4
"225",0,6,80,52731,1,812,24,32,0,10000,8120000,23,29,7
"226",0,17,53,55797,2,243,0,0,0,20000,2430000,57,20,7
"227",0,6,443,59481,1,66,16,0,0,10000,660000,48,58,5
"228",0,6,48787,80,1,66,16,0,0,10000,660000,53,3,0
"229",0.021,6,80,57634,4,1070,26,32,0,190.47619047619,50952.3809523809,13,17,1
"230",0,6,37766,80,1,66,16,0,0,10000,660000,21,11,8
"231",0,17,53,57232,1,174,0,0,0,10000,1740000,36,25,4
"232",0.018,6,50074,80,2,108,17,0,0,111.111111111111,6000,50,44,4
"233",2.097,6,51774,443,26,3326,24,0,0,12.3986647591798,1586.075345732,40,44,2
"234",0,6,80,56585,1,66,16,32,0,10000,660000,36,38,2
"235",1.134,6,443,33059,17,25342,26,0,0,14.9911816578483,22347.442680776,50,57,4
"236",0.04,6,48410,443,3,2955,24,0,0,75,73875,29,15,8
"237",1.025,6,80,62849,10,5391,24,32,0,9.75609756097561,5259.51219512195,5,24,9
"238",0,6,51585,443,1,66,16,0,0,10000,660000,35,4,7
"239",0,6,80,39455,1,66,17,32,0,10000,660000,15,58,3
"240",0.005,6,52321,445,2,174,24,0,0,400,34800,51,37,5
"241",0,6,45112,443,1,66,16,0,0,10000,660000,52,2,9
"242",0,6,43542,443,1,66,16,0,0,10000,660000,9,49,2
"243",0.001,6,55046,443,2,108,4,32,0,2000,108000,26,10,4
"244",0,6,80,52420,1,66,16,0,0,10000,660000,12,9,6
"245",0.02,6,80,37818,2,1724,24,32,0,100,86200,15,30,3
"246",0,6,54186,80,1,66,16,0,0,10000,660000,46,36,5
"247",0.418,6,80,58487,4,1202,26,32,0,9.56937799043062,2875.5980861244,29,12,5
"248",0,6,443,48637,1,66,16,32,0,10000,660000,50,58,3
"249",0,6,80,62312,1,54,16,0,0,10000,540000,26,38,5
"250",0,6,80,48663,1,66,16,32,0,10000,660000,11,45,4
"251",0.267,6,80,60697,10,25564,26,32,0,37.4531835205992,95745.3183520599,12,21,2
"252",0,6,80,60945,1,66,16,0,0,10000,660000,46,26,7
"253",0.1,6,80,44427,5,1198,27,32,0,50,11980,7,9,2
"254",0,6,49456,443,1,66,16,0,0,10000,660000,12,34,3
"255",0,17,53,34139,1,251,0,0,0,10000,2510000,28,8,6
"256",0.071,6,443,33504,4,365,26,32,0,56.3380281690141,5140.84507042254,26,58,9
"257",0,6,43827,443,1,66,16,0,0,10000,660000,28,34,9
"258",0.778,6,45791,443,4,264,17,0,0,5.1413881748072,339.331619537275,41,48,8
"259",0.053,17,52489,53,2,148,0,0,0,37.7358490566038,2792.45283018868,57,17,3
"260",0,6,443,60089,1,66,16,0,0,10000,660000,54,54,6
"261",0.118,6,55421,443,10,2994,27,0,0,84.7457627118644,25372.8813559322,54,52,7
"262",0.016,6,80,49900,3,162,17,32,0,187.5,10125,13,7,7
"263",0,6,37525,443,1,66,17,0,0,10000,660000,0,32,1
"264",0.022,6,37039,8082,2,338,24,0,0,90.9090909090909,15363.6363636364,45,4,9
"265",0,6,443,44896,1,66,16,32,0,10000,660000,24,25,2
"266",0,6,80,33588,1,66,16,32,0,10000,660000,12,44,3
"267",0,6,54202,443,1,66,16,0,0,10000,660000,0,13,0
"268",0,6,55187,443,2,108,17,0,0,20000,1080000,35,52,4
"269",0.044,6,443,35387,5,509,26,32,0,113.636363636364,11568.1818181818,57,8,3
"270",0.431,6,443,59605,7,5214,26,32,0,16.2412993039443,12097.4477958237,10,30,8
"271",1.22,6,37649,443,14,2073,26,0,0,11.4754098360656,1699.18032786885,12,12,2
"272",0.187,6,443,40868,9,5022,26,32,0,48.1283422459893,26855.614973262,2,51,8
"273",0,17,53,52262,1,118,0,0,0,10000,1180000,32,59,4
"274",0,6,443,35443,3,445,25,32,0,30000,4450000,35,13,1
"275",0.176,6,443,52502,2,139,25,32,0,11.3636363636364,789.772727272727,22,55,5
"276",0,17,56945,53,2,152,0,0,0,20000,1520000,27,28,6
"277",0.224,6,443,36013,4,2178,24,32,0,17.8571428571429,9723.21428571429,1,32,3
"278",0.54,6,57179,443,27,2500,26,0,0,50,4629.62962962963,11,10,1
"279",0.25,6,443,52381,8,5149,27,32,0,32,20596,47,49,7
"280",0,6,37564,443,2,132,17,0,0,20000,1320000,25,23,8
"281",0.035,17,53,36094,2,282,0,0,0,57.1428571428571,8057.14285714286,32,1,7
"282",0,6,443,59114,1,66,16,32,0,10000,660000,52,1,7
"283",0,6,443,36013,1,54,16,32,0,10000,540000,59,9,5
"284",0,6,54226,443,1,66,16,0,0,10000,660000,41,1,3
"285",0,17,53,56752,1,177,0,0,0,10000,1770000,38,30,8
"286",0.02,6,48380,8082,2,338,24,0,0,100,16900,15,33,5
"287",0,17,53,55920,1,247,0,0,0,10000,2470000,29,3,0
"288",0,6,39282,80,1,66,16,0,0,10000,660000,46,39,0
"289",0,6,445,34743,1,108,24,0,0,10000,1080000,17,47,5
"290",0,6,443,33202,1,66,16,32,0,10000,660000,52,52,8
"291",0,6,58920,80,1,66,16,0,0,10000,660000,41,36,6
"292",0.016,6,37784,80,2,132,17,0,0,125,8250,51,56,4
"293",0,6,443,62664,1,100,24,32,0,10000,1e+06,26,40,2
"294",0,6,36719,80,1,66,16,0,0,10000,660000,26,19,4
"295",0.037,17,53,50996,2,229,0,0,0,54.0540540540541,6189.18918918919,15,34,7
"296",0,6,443,58512,1,66,16,0,0,10000,660000,31,49,1
"297",0,6,8082,61841,1,200,24,32,0,10000,2e+06,1,35,4
"298",0,17,38469,53,2,172,0,0,0,20000,1720000,49,7,5
"299",0.109,6,80,34292,5,1198,27,32,0,45.8715596330275,10990.8256880734,57,12,3
"300",0,6,51754,443,1,55,16,0,0,10000,550000,35,25,6
"301",0,6,51222,443,1,66,16,0,0,10000,660000,2,57,6
"302",0.545,6,50068,443,9,1527,26,0,0,16.5137614678899,2801.83486238532,50,38,6
"303",0.45,6,37024,443,8,2407,26,0,0,17.7777777777778,5348.88888888889,10,57,9
"304",0,6,51022,80,1,66,16,0,0,10000,660000,33,17,6
"305",0,6,50667,80,1,66,16,0,0,10000,660000,43,14,4
"306",1.034,6,49964,443,19,2706,26,0,0,18.3752417794971,2617.02127659574,16,32,3
"307",0.03,6,60457,80,5,764,26,0,0,166.666666666667,25466.6666666667,46,20,8
"308",0.255,6,443,38895,6,4760,26,32,0,23.5294117647059,18666.6666666667,42,1,5
"309",0,6,80,50637,1,66,16,32,0,10000,660000,31,54,2
"310",0,17,55572,53,2,170,0,0,0,20000,1700000,41,17,4
"311",0.003,17,53769,53,2,154,0,0,0,666.666666666667,51333.3333333333,13,1,1
"312",0,6,80,59722,1,66,16,32,0,10000,660000,34,17,7
"313",0,6,80,59486,1,66,16,0,0,10000,660000,47,0,5
"314",0.831,6,443,52479,10,8560,26,32,0,12.0336943441637,10300.8423586041,25,0,3
"315",0,6,36529,80,1,66,16,0,0,10000,660000,46,40,1
"316",0.026,6,41899,80,2,132,17,0,0,76.9230769230769,5076.92307692308,4,59,7
"317",0,6,443,54466,1,66,16,0,0,10000,660000,43,17,3
"318",0,17,53,40192,2,267,0,0,0,20000,2670000,59,32,0
"319",0.003,17,53,55502,2,232,0,0,0,666.666666666667,77333.3333333333,45,8,2
"320",1.857,6,58834,443,16,2591,26,0,0,8.61604738826064,1395.26117393646,55,24,9
"321",0.299,6,80,57309,46,101024,26,0,0,153.846153846154,337872.909698997,26,32,1
"322",0.002,6,443,58881,2,108,17,32,0,1000,54000,30,37,9
"323",0,6,52614,80,1,55,16,0,0,10000,550000,32,12,7
"324",0.04,17,53,57360,2,360,0,0,0,50,9000,20,45,0
"325",0.021,6,51736,80,5,2269,24,0,0,238.095238095238,108047.619047619,53,47,9
"326",0.056,6,36851,443,5,906,26,0,0,89.2857142857143,16178.5714285714,27,50,5
"327",0,6,57986,443,1,66,17,0,0,10000,660000,20,44,9
"328",0,6,34713,443,2,132,17,0,0,20000,1320000,50,59,0
"329",0,6,80,63012,1,66,16,32,0,10000,660000,42,46,0
"330",0,17,53,43778,2,300,0,0,0,20000,3e+06,57,44,5
"331",0.001,6,80,43922,2,132,17,32,0,2000,132000,45,49,1
"332",0,6,8082,56978,1,212,24,32,0,10000,2120000,18,10,3
"333",0.017,6,443,60723,3,193,25,32,0,176.470588235294,11352.9411764706,41,39,2
"334",0.002,17,42794,53,2,170,0,0,0,1000,85000,45,45,8
"335",0,6,80,52786,1,66,16,0,0,10000,660000,45,30,7
"336",0,6,35116,80,1,66,16,0,0,10000,660000,2,44,2
"337",0.003,17,35567,53,2,148,0,0,0,666.666666666667,49333.3333333333,47,16,4
"338",0.664,6,36672,80,4,633,25,0,0,6.02409638554217,953.313253012048,11,31,3
"339",0.117,6,443,38142,8,4580,26,32,0,68.3760683760684,39145.2991452991,53,3,8
"340",0.016,6,35671,80,2,140,18,0,0,125,8750,30,39,9
"341",0,6,35819,443,1,66,16,0,0,10000,660000,56,24,9
"342",0,6,33960,443,1,66,16,0,0,10000,660000,3,31,8
"343",0.552,6,46600,80,3,627,24,0,0,5.43478260869565,1135.86956521739,26,37,0
"344",0,6,443,37578,2,132,17,32,0,20000,1320000,13,9,5
"345",0.002,6,46709,445,2,174,24,0,0,1000,87000,58,23,8
"346",0.112,6,443,51261,5,449,26,32,0,44.6428571428571,4008.92857142857,20,25,8
"347",0,6,49843,80,1,66,16,0,0,10000,660000,2,49,2
"348",0.063,17,53,42223,2,388,0,0,0,31.7460317460317,6158.73015873016,8,37,2
"349",0,6,56816,443,1,55,16,0,0,10000,550000,41,41,3
"350",0,6,56646,443,1,54,16,0,0,10000,540000,25,11,9
"351",0,6,8082,37039,1,212,24,32,0,10000,2120000,0,6,1
"352",0,6,443,36574,1,66,16,32,0,10000,660000,30,25,3
"353",0.056,6,443,57926,13,43862,26,32,0,232.142857142857,783250,14,52,7
"354",0,6,80,60744,1,66,16,32,0,10000,660000,4,47,7
"355",0.091,6,443,38705,6,6160,26,32,0,65.9340659340659,67692.3076923077,46,39,9
"356",2.703,6,443,60309,17,15600,26,32,0,6.28930817610063,5771.36514983352,38,49,2
"357",3.631,6,56721,80,62,5212,26,0,0,17.0751858992013,1435.41724042963,51,37,0
"358",0,6,80,57281,1,54,16,32,0,10000,540000,26,26,9
"359",0,17,53,59288,2,264,0,0,0,20000,2640000,6,26,9
"360",0,6,80,37703,1,66,16,32,0,10000,660000,12,34,5
